image_name,caption
452.jpg,"A set health care and medical icons that include editable strokes or outlines using the EPS vector file. The icons include both a male and female doctor, nurse, medical professionals, medication, x-ray, injury, medical check-up, ambulance, hospital, medical exam, physical therapy and hospital sick bed to name just a few."
453.jpg,"Unique Characters Full Length Vector art illustration.
Retro macho african ethnicity businessman shooting laser beams from his eyes."
454.jpg,река ди в поместье балморал в шотландии - balmoral castle стоковые фото и изображения
455.jpg,Topographic lines abstract smooth pattern background.
456.jpg,The way forward
457.jpg,"Vector illustration of the infographic elements, bar chart, circle diagram, timeline."
458.jpg,умный город и абстрактная точка соединяются с градиентной линией - технологии стоковые фото и изображения
459.jpg,Classic Christian Symbols eps9
460.jpg,Human brain icons - vector illustration
461.jpg,Happy family on inflatable bed on the sea
462.jpg,"уникальный логотип короны, иллюстрация, вектор - queen stock illustrations"
463.jpg,Abstract background with cubes symbolised blockchain and cryptocurrency technology.
464.jpg,Vector set of design templates and elements for Food and Drink in trendy linear style - Seamless patterns with linear icons related to Food and Drink - Vector
465.jpg,Modern bright blue abstract vector background
466.jpg,"Easily editable flat vector illustration on layers.
No transparencies used."
467.jpg,концепция технической поддержки. обслуживание гаечный ключ знака и srewdriver инструменты. технические проблемы исправить службы. - технологии стоковые фото и изображения
468.jpg,"Black trendy badge (Genuine Product, Best Choice) with shadow, isolated on a white background. Elements for your design, with space for your text. Vector Illustration (EPS10, well layered and grouped). Easy to edit, manipulate, resize or colorize. Please do not hesitate to contact me if you have any questions, or need to customise the illustration. http://www.istockphoto.com/portfolio/bgblue"
469.jpg,20 Transportation Outline Icons.
470.jpg,"Artificial Intelligence technology vehicle interior city for backgroundsFuturistic eye, Artificial Intelligence, Globe - Navigational Equipment, DataBrain Wave, Artificial Intelligence, city.Data,Face recognition"
471.jpg,Set of Healthcare and Medical Icons Vector Pattern Design
472.jpg,Sale of Special Offers and Discount Gradient Banner Template Vector Design. Vector Illustration EPS 10 File.
473.jpg,Explode burst colorful design line explosion graphic element.
474.jpg,New year's day 2020. You can edit the colors or sizes easily if you have Adobe Illustrator or other vector software. All shapes are vector
475.jpg,Product Management Related Vector Line Icons
476.jpg,Monkey head. Smiling monkey face vector
477.jpg,Dark Purple Abstract Technology background
478.jpg,16 Globe Outline Icons.
479.jpg,"бизнес фон бизнесмена, имеющих рукопожатие - бизнес стоковые фото и изображения"
480.jpg,"A set of automobile repair icons that include editable strokes or outlines using the EPS vector file. The icons include mechanics, broken down car, engine repair, car brakes, car accident, oil, radiator, auto body damage, tow truck, tires, spark plug, auto body shop, tire rotation, flat tire and engine installation to name just a few."
481.jpg,"Set of 6 ""Best"" Black and white badges and labels in a line art style with a thin black outline, isolated on white background (The Best Seller, The Best - Guaranteed, Premium - Best Seller, Premium Quality - Best Price - 100% Guaranteed). Elements for your design, with space for your text. Vector Illustration (EPS10, well layered and grouped). Easy to edit, manipulate, resize or colorize."
482.jpg,"20 Outline Style - Black line - Pixel Perfect icons / Volunteer Charity Set #94
Icons are designed in 48x48pх square, outline stroke 2px.

First row of outline icons contains: 
Giving Money, Money Donation, Heart in Human hands, Hand Giving Coins, Family;

Second row contains: 
Blood Donation Bag,  Basket of Food, Medical Cross, Handshake, Volunteer;

Third row contains: 
Heart in Human hand, Donation Box, Praying, Charity Heart, Coins Stack; 

Fourth row contains: 
Piggy Bank, Clothes Donating, Toys Donating, Insurance, Receiving Hand.

Complete Primico collection - https://www.istockphoto.com/collaboration/boards/NQPVdXl6m0W6Zy5mWYkSyw"
483.jpg,Vector Illustration of a Beautiful Abstract Rhythmic Sound Wave Movement on a Black Background.
484.jpg,Happy New Years line icons and symbols for party and celebration.
485.jpg,Young father working at home with his baby  girl
486.jpg,Vector Illustration World Flags
487.jpg,healthcare and medicine symbol
488.jpg,"Traffic, Transportation,"
489.jpg,подключение сети в темных серверах систем хранения данных центра обработки данных 3d рендеринга - технологии стоковые фото и изображения
490.jpg,рабочие работают допоздна. высокое здание отражено - бизнес стоковые фото и изображения
491.jpg,"Autonomous self driving cars in a roundabout (traffic circle) next to a highway. The cars are connected with each other with lines illustrating data transfers, GPS information and artificial intelligence used in the future of self driving cars."
492.jpg,"Vector illustration of a big collection of cute and colorful emoticons for social media platforms, online messaging and mobile apps, technology and business ideas and concepts, user interface projects and design projects in general. Cartoon style with flat colors and minimalistic design. Colors are global for easy editing."
493.jpg,Autonomous car icon set
494.jpg,"счастливая мать и дети на кухне. здоровое питание, семья, концепция приготовления пищи - стиль жизни стоковые фото и изображения"
495.jpg,bokeh Background
496.jpg,"Healthcare, Medicine,"
497.jpg,"A set of business teams icons that include editable strokes or outlines using the EPS vector file. The icons business teams, groups of workers, bosses, managers, business people, teamwork, working together, businessmen, meetings, trainings, success, collaboration, high five, arms around shoulders and leadership to name a few."
498.jpg,Vector floral pattern icon collection
499.jpg,"Set of Brown ribbons, banners, badges and labels, isolated on a blank background. Elements for your design, with space for your text. Vector Illustration (EPS10, well layered and grouped). Easy to edit, manipulate, resize or colorize."
